,value,total_seconds,type,date
0,C#,108.293,languages,2020-10-01
3,Rust,2768.17,languages,2020-10-12
4,CMake,2054.23,languages,2020-10-12
5,YAML,1111.350759,languages,2020-10-12
6,C++,741.047,languages,2020-10-12
7,TOML,623.161,languages,2020-10-12
8,Other,378.135,languages,2020-10-12
9,C,79.726,languages,2020-10-12
10,Git Config,52.629,languages,2020-10-12
11,Text,0.002,languages,2020-10-12
12,Makefile,0.001,languages,2020-10-12
19,Rust,3933.147453,languages,2020-10-26
20,C++,675.762547,languages,2020-10-26
21,HTML,432.125291,languages,2020-10-26
22,JavaScript,266.545952,languages,2020-10-26
23,Markdown,160.309098,languages,2020-10-26
24,Bash,3.919368,languages,2020-10-26
29,C#,4530.756,languages,2020-10-08
30,Markdown,1646.237,languages,2020-10-08
31,YAML,1523.492,languages,2020-10-08
32,Other,218.842,languages,2020-10-08
37,Rust,27612.741751,languages,2020-10-20
38,C++,284.143249,languages,2020-10-20
39,TOML,273.034,languages,2020-10-20
40,Makefile,267.958,languages,2020-10-20
41,C,5.611,languages,2020-10-20
42,Git Config,1.974,languages,2020-10-20
43,Other,0.654,languages,2020-10-20
44,Python,0.448,languages,2020-10-20
49,C#,8230.529,languages,2020-10-02
50,YAML,1229.28,languages,2020-10-02
51,Other,1057.543,languages,2020-10-02
52,Markdown,501.028,languages,2020-10-02
53,JSON,27.223,languages,2020-10-02
57,C#,12132.775,languages,2020-10-06
58,YAML,607.909,languages,2020-10-06
59,Other,182.863,languages,2020-10-06
60,Markdown,5.623,languages,2020-10-06
63,XML,0.0,languages,2020-10-29
64,C#,0.0,languages,2020-10-29
69,C#,14269.224511,languages,2020-10-23
70,Other,2514.299489,languages,2020-10-23
71,Markdown,646.621,languages,2020-10-23
80,Rust,9230.357,languages,2020-10-18
81,Markdown,1573.689,languages,2020-10-18
82,TOML,50.806,languages,2020-10-18
85,C#,5528.777,languages,2020-10-27
86,Other,1446.325,languages,2020-10-27
87,Protocol Buffer,357.354,languages,2020-10-27
88,YAML,190.523,languages,2020-10-27
89,XML,59.993,languages,2020-10-27
90,Markdown,57.839,languages,2020-10-27
91,Git Config,1.85,languages,2020-10-27
97,Rust,6139.701,languages,2020-10-16
98,C++,136.075,languages,2020-10-16
99,TOML,68.06,languages,2020-10-16
100,Markdown,31.37,languages,2020-10-16
105,Rust,8932.116,languages,2020-10-19
106,Markdown,46.271,languages,2020-10-19
110,C#,2146.686,languages,2020-10-05
111,Markdown,182.56,languages,2020-10-05
112,Bash,0.0,languages,2020-10-05
117,C#,2464.209,languages,2020-10-09
118,Markdown,1598.337,languages,2020-10-09
119,JSON,1130.062,languages,2020-10-09
120,Other,148.814345,languages,2020-10-09
121,YAML,2.198,languages,2020-10-09
122,XML,0.449,languages,2020-10-09
123,Git Config,0.001,languages,2020-10-09
129,Rust,18481.337371,languages,2020-10-15
130,C++,1103.690449,languages,2020-10-15
131,Markdown,251.552,languages,2020-10-15
132,CMake,86.507,languages,2020-10-15
133,TOML,62.700169,languages,2020-10-15
134,Git Config,19.93,languages,2020-10-15
135,Python,0.439,languages,2020-10-15
136,C,0.415,languages,2020-10-15
145,Other,951.517489,languages,2020-10-22
146,Nix,158.53542,languages,2020-10-22
147,Rust,23.544,languages,2020-10-22
